Item,Item_ID,Category,Subcategory,Brand,Wikidata_ID,Wikidata_Label,Wikidata_Description,Wikidata_URI,Match_Score
Dr. Dolittle,210.0,Movies,Comedy,Eddie Murphy,Q38689704,Dolittle,2020 film directed by Stephen Gaghan,https://www.wikidata.org/entity/Q38689704,1
Dracula,229.0,Movies,Horror,Bela Lugosi,Q116047373,Dracula Film Festival,film festival in Romania,https://www.wikidata.org/entity/Q116047373,1
Embrya,353.0,Music,Soul / R&B,Maxwell,Q5370212,Embrya,album by Maxwell,https://www.wikidata.org/entity/Q5370212,1
Engines of Creation,71.0,Books,Science & Technology,Eric Drexler,Q358487,Engines of Creation,2000 studio album by Joe Satriani,https://www.wikidata.org/entity/Q358487,0
Envisioning Information,69.0,Books,Science & Technology,Edward R. Tufte,Q125475578,Envisioning Information,book by Edward Tufte,https://www.wikidata.org/entity/Q125475578,1
ErgoRev Elite Wireless Keyboard,166.0,Electronics,Video Equipment,Panasonic,,,,,0
Everest,193.0,Movies,Action,Liam Neeson,Q55087665,Abominable,2019 film directed by Jill Culton and Todd Wilderman,https://www.wikidata.org/entity/Q55087665,1
Exotic Sound Effects,304.0,Music,Music - Miscellaneous,Sound Effects,,,,,0
Exploring Antarctica,259.0,Movies,Special Interests,Discovery Staff,Q58322176,Exploring Antarctica - a centennial perspective,,https://www.wikidata.org/entity/Q58322176,0
Facercise,79.0,Books,Sports & Health,Carole Maggio,,,,,0
Ferris Bueller's Day Off,197.0,Movies,Comedy,Matthew Broderick,Q498906,Ferris Bueller's Day Off,1986 film by John Hughes,https://www.wikidata.org/entity/Q498906,1
Fitness for Dummies,86.0,Books,Sports & Health,Suzanne Schlosberg,,,,,0
Foundation Analysis and Design,62.0,Books,Science & Technology,Bowles,Q136298551,Foundation Analysis and Design,textbook authored by Joseph E Bowles,https://www.wikidata.org/entity/Q136298551,1
Four,342.0,Music,Rock,Blues Traveler,Q925222,Four,"commune in Isère, France",https://www.wikidata.org/entity/Q925222,0
Frankenstein,238.0,Movies,Horror,Boris Karloff,Q37235204,Frankenstein,family name,https://www.wikidata.org/entity/Q37235204,0
Fresh Horses,291.0,Music,Country,Garth Brooks,Q5502982,Fresh Horses,1995 album by Garth Brooks,https://www.wikidata.org/entity/Q5502982,1
"GPX 5"" AM/FM Portable TV",151.0,Electronics,TV's,GPX,,,,,0
GPX CD AM/FM Cassette Recorder Karaoke Machine,96.0,Electronics,Audio Equipment,GPX,,,,,0
GPX Portable CD Player with Bass Boost,94.0,Electronics,Audio Equipment,GPX,,,,,0
GPX Portable CD Player with Car Kit,95.0,Electronics,Audio Equipment,GPX,,,,,0
Games Rednecks Play,288.0,Music,Country,"Foxworthy, Jeff",Q5520093,Games Rednecks Play,album by Jeff Foxworthy,https://www.wikidata.org/entity/Q5520093,1
Games for the Superintelligent,55.0,Books,Books - Miscellaneous,James F. Fixx,,,,,0
Ghost Of Tom Joad,334.0,Music,Rock,Springsteen,Q1521905,Ghost of Tom Joad,band,https://www.wikidata.org/entity/Q1521905,0
Godzilla,184.0,Movies,Action,Matthew Broderick,Q5577028,Godzilla movies at a glance,Japanese series of Kaiju films,https://www.wikidata.org/entity/Q5577028,1
Golf My Way Collection,267.0,Movies,Special Interests,Jack Nicklaus,,,,,0
Gone,287.0,Music,Country,Dwight Yoakam,Q105906943,Gone,vocal track by Bodies Without Organs; 2005 studio recording,https://www.wikidata.org/entity/Q105906943,1
Gone With the Wind,221.0,Movies,Drama,Clark Gable,Q2875,Gone with the Wind,1939 film directed by Victor Fleming,https://www.wikidata.org/entity/Q2875,1
"Gonzo, the Art",11.0,Books,Art & Architecture,Ralph Steadman,,,,,0
Good Will Hunting,225.0,Movies,Drama,Robin Williams,Q193835,Good Will Hunting,1997 film by Gus Van Sant,https://www.wikidata.org/entity/Q193835,1
Great Comedians Talk about Comedy,52.0,Books,Books - Miscellaneous,Larry Wilde,,,,,0
Great Expectations,215.0,Movies,Drama,Ethan Hawke,Q1282209,Great Expectations,1946 film by David Lean,https://www.wikidata.org/entity/Q1282209,1
Great Gatsby,39.0,Books,Literature,F. Scott Fitzgerald,Q214371,The Great Gatsby,1925 novel by F. Scott Fitzgerald,https://www.wikidata.org/entity/Q214371,1
Guide to Life,57.0,Books,Books - Miscellaneous,Dave Barry,,,,,0
Handbook of Hydraulics,63.0,Books,Science & Technology,Brater,,,,,0
Harman Kardon AM/FM Stereo Receiver,92.0,Electronics,Audio Equipment,Harman Kardon,,,,,0
Harman Kardon Digital Surround Sound Receiver,91.0,Electronics,Audio Equipment,Harman Kardon,,,,,0
Harman Kardon Dolby Digital Receiver,93.0,Electronics,Audio Equipment,Harman Kardon,,,,,0
Hell Freezes Over,341.0,Music,Rock,The Eagles,Q2735345,Hell Freezes Over,Eagles album,https://www.wikidata.org/entity/Q2735345,1
Hewlett Packard CD-Writer Plus,132.0,Electronics,Computers,Hewlett Packard,,,,,0
Hewlett Packard Color Copier,145.0,Electronics,Electronics - Miscellaneous,Hewlett Packard,,,,,0
Hewlett Packard External Tape Drive,131.0,Electronics,Computers,Hewlett Packard,,,,,0
Hewlett Packard Financial Calculator,148.0,Electronics,Electronics - Miscellaneous,Hewlett Packard,,,,,0
Hewlett Packard Graphic Calculator,147.0,Electronics,Electronics - Miscellaneous,Hewlett Packard,,,,,0
Hewlett Packard Jornada 680 Handheld PC,150.0,Electronics,Electronics - Miscellaneous,Hewlett Packard,,,,,0
Hewlett Packard LaserJet Printer/Copier/Scanner,146.0,Electronics,Electronics - Miscellaneous,Hewlett Packard,,,,,0
Hewlett Packard OfficeJet Printer,149.0,Electronics,Electronics - Miscellaneous,Hewlett Packard,,,,,0
Hirschfeld on Line,4.0,Books,Art & Architecture,Al Hirschfeld,,,,,0
Hitachi DVD Camcorder,107.0,Electronics,Cameras,Hitachi,,,,,0
Hitachi Hi8 Camcorder,106.0,Electronics,Cameras,Hitachi,,,,,0
Home,318.0,Music,Pop,Deep Blue Something,Q67607068,Home,2019 single by Basshunter,https://www.wikidata.org/entity/Q67607068,1
Hope Floats,220.0,Movies,Drama,Sandra Bullock,Q924642,Hope Floats,1998 film by Forest Whitaker,https://www.wikidata.org/entity/Q924642,1
How to Live with a Neurotic Dog,60.0,Books,Books - Miscellaneous,Stephen Baker,,,,,0
How to Play Piano 1,262.0,Movies,Special Interests,Richard Bradley,,,,,0
I Know What You Did Last Summer,235.0,Movies,Horror,Jennifer Love Hewitt,Q130368011,I Know What You Did Last Summer,2025 film directed by Jennifer Kaytin Robinson,https://www.wikidata.org/entity/Q130368011,1
I Love To Polka,307.0,Music,Music - Miscellaneous,Jimmy Sturr,Q5978335,I Love to Polka,album by Jimmy Sturr,https://www.wikidata.org/entity/Q5978335,1
I Think About You,290.0,Music,Country,Collin Raye,Q5979145,I Think About You,album by Collin Raye,https://www.wikidata.org/entity/Q5979145,1
Insomniac,281.0,Music,Alternative,Green Day,Q1869874,insomnia,inability to sleep peacefully,https://www.wikidata.org/entity/Q1869874,1
Interview With the Vampire,240.0,Movies,Horror,Tom Cruise,Q318910,Interview with the Vampire,1994 film by Neil Jordan,https://www.wikidata.org/entity/Q318910,1
It Matters To Me,295.0,Music,Country,Faith Hill,Q3804037,It Matters to Me,album by Faith Hill,https://www.wikidata.org/entity/Q3804037,1
Its A Mystery,340.0,Music,Rock,"Seger, Bob",,,,,0
Jagged Little Pill,276.0,Music,Alternative,"Morissette,Alanis",Q750084,Jagged Little Pill,1995 studio album by Alanis Morissette,https://www.wikidata.org/entity/Q750084,1
Jesus of Nazareth,263.0,Movies,Special Interests,Robert Powell,Q470572,Jesus of Nazareth,"1977 television biopic and religious miniseries directed by Franco Zeffirelli, and 1978 movie film by Franco Zeffirelli",https://www.wikidata.org/entity/Q470572,2
Jobshift,30.0,Books,Business,William Bridges,Q128449201,Jobshift: How to Prosper in a Workplace Without Jobs,scholarly article,https://www.wikidata.org/entity/Q128449201,0
Jump Start Your Brain,26.0,Books,Business,Doug Hall,,,,,0
L.A. Confidential,216.0,Movies,Drama,Kevin Spacey,Q339876,L.A. Confidential,1997 film directed by Curtis Hanson,https://www.wikidata.org/entity/Q339876,1
Lady and the Tramp,247.0,Movies,Kids / Family,Peggy Lee,Q123289855,Lady and the Tramp film series,film series,https://www.wikidata.org/entity/Q123289855,1
Last Glimpse of Summer,211.0,Movies,Drama,Kate Winslet,,,,,0
Le Mans,187.0,Movies,Action,Steve McQueen,Q613290,Le Mans,1971 action film by Lee H. Katzin,https://www.wikidata.org/entity/Q613290,1
Learn! Microsoft Office 2000,260.0,Movies,Special Interests,Microsoft Staff,,,,,0
Let's Play Soccer,266.0,Movies,Special Interests,Espn Instructional,,,,,0
Lethal Weapon 4,186.0,Movies,Action,Mel Gibson,Q429397,Lethal Weapon 4,1998 film directed by Richard Donner,https://www.wikidata.org/entity/Q429397,1
Life,324.0,Music,Pop,Simply Red,Q4384069,Life Album,studio album by Ikimono-gakari,https://www.wikidata.org/entity/Q4384069,1
Live,346.0,Music,Soul / R&B,Erykah Badu,Q209939,live album,"album type recorded at a single concert, or combined recordings made at multiple concerts",https://www.wikidata.org/entity/Q209939,3
Live at the Bridge Vol 2,320.0,Music,Pop,Michael Jackson,,,,,0
Living Yoga,270.0,Movies,Special Interests,Rodney Yee,,,,,0
Lolita,44.0,Books,Literature,Vladimir Vladimirovich,Q3057262,Lolita,female given name,https://www.wikidata.org/entity/Q3057262,0
Lord of the Flies,34.0,Books,Literature,William Gerald Golding,Q271764,Lord of the Flies,1954 novel by William Golding,https://www.wikidata.org/entity/Q271764,1
Lucy,332.0,Music,Rock,Candlebox,Q13365715,Lucy,female given name,https://www.wikidata.org/entity/Q13365715,0
Manhunter,195.0,Movies,Action,William L. Petersen,Q886719,Manhunter,1986 film by Michael Mann,https://www.wikidata.org/entity/Q886719,1
Manufacturing Planning and Control Systems,67.0,Books,Science & Technology,Thomas E. Vollmann,,,,,0
Massage for Health,269.0,Movies,Special Interests,Patricia Dickinson,Q123306470,Massage For Health,1988 film by Johanna Demetrakas,https://www.wikidata.org/entity/Q123306470,1
Mensa Lateral Thinking,58.0,Books,Books - Miscellaneous,Dave Chatten,,,,,0
Microsoft Basic Mouse V1.0,121.0,Electronics,Computers,Microsoft,,,,,0
Microsoft Natural Keyboard Elite V2.0,122.0,Electronics,Computers,Microsoft,,,,,0
Minolta Freedom Zoom Explorer Camera,110.0,Electronics,Cameras,Minolta,,,,,0
Minolta Freedom Zoom Supreme EX Camera,108.0,Electronics,Cameras,Minolta,,,,,0
Minolta Maxxum Camera,109.0,Electronics,Cameras,Minolta,,,,,0
Minolta Vectis Beam Camera,111.0,Electronics,Cameras,Minolta,,,,,0
Modern Recording Techniques,64.0,Books,Science & Technology,David Miles Huber,,,,,0
Morning Glory,277.0,Music,Alternative,Oasis,Q2722230,Morning Glory,"song written and composed by Noel Gallagher, originally recorded by Oasis and released in 1995",https://www.wikidata.org/entity/Q2722230,2
Most of Andy Rooney,56.0,Books,Books - Miscellaneous,Andy Rooney,,,,,0
Mulan,243.0,Movies,Kids / Family,Eddie Murphy,Q537407,Mulan,1998 animated film directed by Barry Cook and Tony Bancroft,https://www.wikidata.org/entity/Q537407,1
My Cousin Vinny,202.0,Movies,Comedy,Joe Pesci,Q838154,My Cousin Vinny,1992 film directed by Jonathan Lynn,https://www.wikidata.org/entity/Q838154,1
My Love Is Your Love,348.0,Music,Soul / R&B,Whitney Houston,Q743125,My Love Is Your Love,1998 studio album by Whitney Houston,https://www.wikidata.org/entity/Q743125,1
Mysteries of the Bible,258.0,Movies,Special Interests,David Barton,Q6948760,Mysteries of the Bible,television series,https://www.wikidata.org/entity/Q6948760,0
Nanotechnology,61.0,Books,Science & Technology,BC Crandall,Q11468,nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale,https://www.wikidata.org/entity/Q11468,0
Never Say Never,360.0,Music,Soul / R&B,Brandy,Q134500669,Never Say Never,2006 studio album by Magnus Bäcklund,https://www.wikidata.org/entity/Q134500669,1
New Beginning,316.0,Music,Pop,Tracy Chapman,Q104589918,New Beginning,song by Milo Meskens,https://www.wikidata.org/entity/Q104589918,1
New Media 16 MB Compact Flash,123.0,Electronics,Computers,New Media,,,,,0
New Media 32 MB Compact Flash,125.0,Electronics,Computers,New Media,,,,,0
New Media 32 MB Smart Media,126.0,Electronics,Computers,New Media,,,,,0
New Media 64 MB Compact Flash,124.0,Electronics,Computers,New Media,,,,,0
Nightmare on Elm Street,237.0,Movies,Horror,Heather Langenkamp,Q329434,A Nightmare on Elm Street,1984 film directed by Wes Craven,https://www.wikidata.org/entity/Q329434,1
Nobody Else,322.0,Music,Pop,Take That,Q1788368,Nobody Else,album by Take That,https://www.wikidata.org/entity/Q1788368,1
Now That I've Found You,292.0,Music,Country,Alison Krauss,Q7065826,Now That I've Found You: A Collection,compilation album,https://www.wikidata.org/entity/Q7065826,2
Nutrition 101,76.0,Books,Sports & Health,Miriam E. Nelson,Q81354920,Nutrition 101: physicians can no longer ignore the healing power of diet and nutritional supplements,scientific article published on 01 June 2008,https://www.wikidata.org/entity/Q81354920,0
Olympus LT Zoom Compact Camera,112.0,Electronics,Cameras,Olympus,,,,,0
Olympus Stylus Zoom Compact Camera,113.0,Electronics,Cameras,Olympus,,,,,0
Olympus Zoom Ultra Compact Camera,114.0,Electronics,Cameras,Olympus,,,,,0
One Hot Minute,279.0,Music,Alternative,Red Hot Chili Peppers,Q117225,One Hot Minute,1995 studio album by Red Hot Chili Peppers,https://www.wikidata.org/entity/Q117225,2
Original Musiquarium,356.0,Music,Soul / R&B,Stevie Wonder,Q3973457,Stevie Wonder's Original Musiquarium I,1982 double compilation album by Stevie Wonder,https://www.wikidata.org/entity/Q3973457,2
Ozzmosis,338.0,Music,Rock,Ozzy Osbourne,Q253860,Ozzmosis,1995 studio album by Ozzy Osbourne,https://www.wikidata.org/entity/Q253860,1
PNY 128MB Memory Card,135.0,Electronics,Computers,PNY,,,,,0
PNY 32 MB Memory Card,133.0,Electronics,Computers,PNY,,,,,0
PNY 64 MB Memory Card,134.0,Electronics,Computers,PNY,,,,,0
Pain Free,77.0,Books,Sports & Health,Pete Egoscue,Q66072655,Pain Free Laceration Repairs Using Intra-nasal Ketamine,clinical trial,https://www.wikidata.org/entity/Q66072655,0
Panasonic 4-Head Hi-Fi VCR,167.0,Electronics,Video Equipment,Panasonic,,,,,0
Panasonic Compact Plain Paper Fax,138.0,Electronics,Electronics - Miscellaneous,Panasonic,,,,,0
Panasonic Digital Palmcorder Camcorder,115.0,Electronics,Cameras,Panasonic,,,,,0
Panasonic Fax Machine,139.0,Electronics,Electronics - Miscellaneous,Panasonic,,,,,0
Panasonic Hi-Fi Stereo VCR,170.0,Electronics,Video Equipment,Panasonic,,,,,0
Panasonic Home Theater Stereo VCR,168.0,Electronics,Video Equipment,Panasonic,,,,,0
Panasonic Multiformat DVD Player,169.0,Electronics,Video Equipment,Panasonic,,,,,0
Panasonic Portable CD Player,97.0,Electronics,Audio Equipment,Panasonic,,,,,0
Pet Music,310.0,Music,Music - Miscellaneous,Instrumental,,,,,0
Pilates: The Way Forward,81.0,Books,Sports & Health,Lynne Robinson,,,,,0
Pioneer 25-Disc Changer with Remote Control,98.0,Electronics,Audio Equipment,Pioneer,,,,,0
"Pioneer CD Recordable, Digital Synchro Recording",99.0,Electronics,Audio Equipment,Pioneer,,,,,0
Pioneer Dolby Pro Logic Receiver,100.0,Electronics,Audio Equipment,Pioneer,,,,,0
Pres Of The Unites States,284.0,Music,Alternative,Pres Of United States,,,,,0
Pretty Woman,207.0,Movies,Comedy,Julia Roberts,Q207954,Pretty Woman,1990 film directed by Garry Marshall,https://www.wikidata.org/entity/Q207954,1
Psycho,226.0,Movies,Horror,Anthony Perkins,Q7256364,Psychological Medicine,academic journal,https://www.wikidata.org/entity/Q7256364,0
Pulp Fiction,222.0,Movies,Drama,John Travolta,Q104123,Pulp Fiction,1994 film by Quentin Tarantino,https://www.wikidata.org/entity/Q104123,1
"RCA 13"" TV",157.0,Electronics,TV's,RCA,,,,,0
"RCA 13"" TV/VCR",156.0,Electronics,TV's,RCA,,,,,0
"RCA 2"" Diagonal LCD Color TV",159.0,Electronics,TV's,RCA,,,,,0
"RCA 27"" Stereo TV",155.0,Electronics,TV's,RCA,,,,,0
"RCA 32"" Stereo TV",152.0,Electronics,TV's,RCA,,,,,0
"RCA 4"" LCD Color TV",158.0,Electronics,TV's,RCA,,,,,0
RCA CD Changer,101.0,Electronics,Audio Equipment,RCA,,,,,0
RCA Indoor TV Antenna,153.0,Electronics,TV's,RCA,,,,,0
RCA Power TV Antenna,154.0,Electronics,TV's,RCA,,,,,0
Rehabilitation of Patients w/ Respiratory Disease,85.0,Books,Sports & Health,Neils Cherniak,,,,,0
Relish,285.0,Music,Alternative,"Osborne, Joan",Q1110306,Relish,1995 studio album by Joan Osborne,https://www.wikidata.org/entity/Q1110306,1
Rescuing Prometheus,75.0,Books,Science & Technology,Thomas P. Hughes,Q7315043,Rescuing Prometheus,1998 book by Thomas P. Hughes,https://www.wikidata.org/entity/Q7315043,1
Revenge,312.0,Music,Music - Miscellaneous,Bill Cosby,Q125920058,Revenge,2020 studio album by Warkings,https://www.wikidata.org/entity/Q125920058,1
Reversing Diabetes,89.0,Books,Sports & Health,Julian M. Whitaker,Q53643063,Reversing diabetes and obesity naturally: a NEWSTART lifestyle program,scientific article,https://www.wikidata.org/entity/Q53643063,0
Road Tested,336.0,Music,Rock,Bonnie Raitt,Q2701604,Road Tested,1995 live album by Bonnie Raitt,https://www.wikidata.org/entity/Q2701604,1
Roark's Formulas for Stress and Strain,68.0,Books,Science & Technology,Young,Q7339898,Roark's Formulas for Stress and Strain,,https://www.wikidata.org/entity/Q7339898,0
Rosemary's Baby,239.0,Movies,Horror,Mia Farrow,Q607179,Rosemary's Baby,1968 film directed by Roman Polanski,https://www.wikidata.org/entity/Q607179,1
