Brand,Brand_ID,Category,Subcategory,Wikidata_ID,Wikidata_Label,Wikidata_Description,Wikidata_URI
Bela Lugosi,308.0,Movies,Horror,Q34529,Bela Lugosi,Hungarian-American actor (1882–1956),https://www.wikidata.org/entity/Q34529
Bill Cosby,414.0,Music,Music - Miscellaneous,Q213512,Bill Cosby,American actor and comedian,https://www.wikidata.org/entity/Q213512
Bill Phillips,109.0,Books,Sports & Health,Q55176561,Bill Phillips,Canadian composer and musician,https://www.wikidata.org/entity/Q55176561
Billy Blanks,309.0,Movies,Special Interests,Q863030,Billy Blanks,American fitness guru,https://www.wikidata.org/entity/Q863030
Blackhawk,415.0,Music,Country,Q880845,Blackhawk,American band,https://www.wikidata.org/entity/Q880845
Blaine L. Pardoe,110.0,Books,Business,--,no direct Wikidata match,--,--
Blue,310.0,Movies,Kids / Family,Q1424655,Blue's Clues,American animated TV series,https://www.wikidata.org/entity/Q1424655
Blues Traveler,416.0,Music,Rock,Q886047,Blues Traveler,American rock band,https://www.wikidata.org/entity/Q886047
Bonnie Raitt,417.0,Music,Rock,Q234693,Bonnie Raitt,American musician (born 1949),https://www.wikidata.org/entity/Q234693
Boris Karloff,311.0,Movies,Horror,Q203219,Boris Karloff,British actor (1887–1969),https://www.wikidata.org/entity/Q203219
Bowles,111.0,Books,Science & Technology,--,no direct Wikidata match,--,--
Bradford D. Smart,112.0,Books,Business,Q115379690,Bradford D. Smart,--,https://www.wikidata.org/entity/Q115379690
Brandy,418.0,Music,Soul / R&B,Q690974,Brandy Norwood,"American singer, songwriter and actress (born 1979)",https://www.wikidata.org/entity/Q690974
Brater,113.0,Books,Science & Technology,--,no direct Wikidata match,--,--
Bruce Willis,312.0,Movies,Action,Q2680,Bruce Willis,American actor (born 1955),https://www.wikidata.org/entity/Q2680
Bush,419.0,Music,Alternative,Q432577,Bush,British rock band,https://www.wikidata.org/entity/Q432577
Candlebox,420.0,Music,Rock,Q1033047,Candlebox,American rock band,https://www.wikidata.org/entity/Q1033047
Carole Maggio,114.0,Books,Sports & Health,--,no direct Wikidata match,--,--
Cary Elwes,313.0,Movies,Comedy,Q311093,Cary Elwes,British actor (born 1962),https://www.wikidata.org/entity/Q311093
Catherine McCormack,314.0,Movies,Drama,Q138327,Catherine McCormack,British actress,https://www.wikidata.org/entity/Q138327
Charles McRaven,115.0,Books,Art & Architecture,--,no direct Wikidata match,--,--
Chet Cunningham,116.0,Books,Sports & Health,Q59532961,Chet Cunningham,American writer (1928–2017),https://www.wikidata.org/entity/Q59532961
Chevy Chase,315.0,Movies,Comedy,Q310926,Chevy Chase,"American actor, comedian and writer (born 1943)",https://www.wikidata.org/entity/Q310926
Christy Lane,316.0,Movies,Special Interests,Q3626188,Zafira,Hungarian pornographic actress,https://www.wikidata.org/entity/Q3626188
Clamshell,317.0,Movies,Kids / Family,--,no direct Wikidata match,--,--
Clark Gable,318.0,Movies,Drama,Q71243,Clark Gable,American actor (1901–1960),https://www.wikidata.org/entity/Q71243
Classic,421.0,Music,Music - Miscellaneous,--,no direct Wikidata match,--,--
Clinton T. Greenleaf III,117.0,Books,Business,--,no direct Wikidata match,--,--
Collective Soul,422.0,Music,Rock,Q593366,Collective Soul,American rock band,https://www.wikidata.org/entity/Q593366
Collin Raye,423.0,Music,Country,Q1109596,Collin Raye,American country music singer (born 1960),https://www.wikidata.org/entity/Q1109596
Covert Bailey,118.0,Books,Sports & Health,Q18086612,Covert Bailey,American author and television personality,https://www.wikidata.org/entity/Q18086612
Daniel Goleman,119.0,Books,Business,Q351701,Daniel Goleman,American psychologist & journalist,https://www.wikidata.org/entity/Q351701
Dave Barry,120.0,Books,Books - Miscellaneous,Q673567,Dave Barry,American writer,https://www.wikidata.org/entity/Q673567
Dave Chatten,121.0,Books,Books - Miscellaneous,--,no direct Wikidata match,--,--
Dave Foley,319.0,Movies,Kids / Family,Q607793,Dave Foley,Canadian actor (born 1963),https://www.wikidata.org/entity/Q607793
Dave Matthews Band,424.0,Music,Rock,Q832086,Dave Matthews Band,American rock band,https://www.wikidata.org/entity/Q832086
David Arquette,320.0,Movies,Horror,Q294185,David Arquette,"American actor, director and professional wrestler",https://www.wikidata.org/entity/Q294185
David Barton,321.0,Movies,Special Interests,Q1173663,David Barton,American politician (1783-1837),https://www.wikidata.org/entity/Q1173663
David Miles Huber,122.0,Books,Science & Technology,Q5237560,David Miles Huber,American composer and producer,https://www.wikidata.org/entity/Q5237560
Dean Mathewson,123.0,Books,Books - Miscellaneous,--,no direct Wikidata match,--,--
Deep Blue Something,425.0,Music,Pop,Q1182355,Deep Blue Something,American rock band,https://www.wikidata.org/entity/Q1182355
Deepak Chopra,124.0,Books,Sports & Health,Q318506,Deepak Chopra,"Indian-born American author and alternative-medicine advocate, physician and public speaker",https://www.wikidata.org/entity/Q318506
Dennis Quaid,322.0,Movies,Kids / Family,Q200768,Dennis Quaid,American actor,https://www.wikidata.org/entity/Q200768
Discovery Staff,323.0,Movies,Special Interests,Q43404,Discovery Channel,American basic cable and satellite television channel,https://www.wikidata.org/entity/Q43404
Disney,426.0,Music,Music - Miscellaneous,Q7414,The Walt Disney Company,American multinational mass media company,https://www.wikidata.org/entity/Q7414
Don Henley,427.0,Music,Pop,Q316454,Don Henley,American rock musician,https://www.wikidata.org/entity/Q316454
Doo Wop Box,428.0,Music,Music - Miscellaneous,--,no direct Wikidata match,--,--
Doug Hall,125.0,Books,Business,Q120189107,Doug Hall,Australian art curator and historian,https://www.wikidata.org/entity/Q120189107
Drew Barrymore,324.0,Movies,Horror,Q676094,Drew Barrymore,American actress (born 1975),https://www.wikidata.org/entity/Q676094
Dwight Yoakam,429.0,Music,Country,Q713099,Dwight Yoakam,"American country singer-songwriter, actor, and film director",https://www.wikidata.org/entity/Q713099
Eddie Murphy,325.0,Movies,Comedy,Q43874,Eddie Murphy,American actor and comedian,https://www.wikidata.org/entity/Q43874
Edgar Bergen,326.0,Movies,Kids / Family,Q721957,Edgar Bergen,"American actor, radio performer, comedian and ventriloquist (1903-1978)",https://www.wikidata.org/entity/Q721957
Edward R. Tufte,126.0,Books,Science & Technology,Q1293908,Edward Tufte,American statistician (b.1942) noted for his writings on information design,https://www.wikidata.org/entity/Q1293908
Elise MacLay,127.0,Books,Art & Architecture,--,no direct Wikidata match,--,--
Ellen Burstyn,327.0,Movies,Horror,Q211144,Ellen Burstyn,American actress,https://www.wikidata.org/entity/Q211144
Emma Thompson,328.0,Movies,Drama,Q168724,Emma Thompson,British actress and screenwriter (born 1959),https://www.wikidata.org/entity/Q168724
Enya,430.0,Music,Music - Miscellaneous,Q38257,Enya,Irish singer (born 1961),https://www.wikidata.org/entity/Q38257
Eric Drexler,128.0,Books,Science & Technology,Q380511,K. Eric Drexler,American engineer (born 1955),https://www.wikidata.org/entity/Q380511
Ernest Hemingway,129.0,Books,Literature,Q23434,Ernest Hemingway,American author and journalist (1899–1961),https://www.wikidata.org/entity/Q23434
Erykah Badu,431.0,Music,Soul / R&B,Q223875,Erykah Badu,American neo-soul singer,https://www.wikidata.org/entity/Q223875
Espn Instructional,329.0,Movies,Special Interests,Q217776,ESPN,American broadcast sports network,https://www.wikidata.org/entity/Q217776
Ethan Hawke,330.0,Movies,Drama,Q484615,Ethan Hawke,American actor and writer (born 1970),https://www.wikidata.org/entity/Q484615
F. Scott Fitzgerald,130.0,Books,Literature,Q93354,F. Scott Fitzgerald,American writer (1896–1940),https://www.wikidata.org/entity/Q93354
Faith Hill,432.0,Music,Country,Q464241,Faith Hill,American country singer,https://www.wikidata.org/entity/Q464241
"Foxworthy, Jeff",433.0,Music,Country,Q2449557,Jeff Foxworthy,"American comedian, actor, host, and writer",https://www.wikidata.org/entity/Q2449557
Frank D. K. Ching,131.0,Books,Art & Architecture,Q8962681,Frank Ching,American architect (b. 1943),https://www.wikidata.org/entity/Q8962681
Frank Lloyd Wright,132.0,Books,Art & Architecture,Q5604,Frank Lloyd Wright,American architect (1867-1959),https://www.wikidata.org/entity/Q5604
GPX,202.0,Electronics,Audio Equipment,Q576465,GPS Exchange Format,XML based open file format to share GNSS data,https://www.wikidata.org/entity/Q576465
Garth Brooks,434.0,Music,Country,Q216288,Garth Brooks,American country music singer and songwriter,https://www.wikidata.org/entity/Q216288
Gary Brodsky,133.0,Books,Books - Miscellaneous,Q64138528,Gary Brodsky,--,https://www.wikidata.org/entity/Q64138528
Geneen Roth,134.0,Books,Sports & Health,--,no direct Wikidata match,--,--
George Orwell,135.0,Books,Literature,Q3335,George Orwell,British writer and journalist (1903–1950),https://www.wikidata.org/entity/Q3335
George Strait,435.0,Music,Country,Q366584,George Strait,American country music singer (born 1952),https://www.wikidata.org/entity/Q366584
Giuseppe Verdi,436.0,Music,Music - Miscellaneous,Q7317,Giuseppe Verdi,Italian opera composer (1813–1901),https://www.wikidata.org/entity/Q7317
Goo Goo Dolls,437.0,Music,Alternative,Q730046,Goo Goo Dolls,American rock band,https://www.wikidata.org/entity/Q730046
Green Day,438.0,Music,Alternative,Q47871,Green Day,American rock band,https://www.wikidata.org/entity/Q47871
Gregory Peck,331.0,Movies,Horror,Q108366,Gregory Peck,American actor (1916–2003),https://www.wikidata.org/entity/Q108366
Hamming,136.0,Books,Science & Technology,--,no direct Wikidata match,--,--
Harman Kardon,203.0,Electronics,Audio Equipment,Q1585599,Harman International Industries,American electronics company,https://www.wikidata.org/entity/Q1585599
Harper Lee,137.0,Books,Literature,Q182658,Harper Lee,American novelist (1926–2016),https://www.wikidata.org/entity/Q182658
Heather Langenkamp,332.0,Movies,Horror,Q238383,Heather Langenkamp,American actress,https://www.wikidata.org/entity/Q238383
Henry Gibson,333.0,Movies,Kids / Family,Q225657,Henry Gibson,American actor (1935–2009),https://www.wikidata.org/entity/Q225657
Henry Petroski,138.0,Books,Science & Technology,Q5965492,Henry Petroski,American Professor and Author (1942–2023),https://www.wikidata.org/entity/Q5965492
Hewlett Packard,204.0,Electronics,Computers,Q80978,Hewlett-Packard,American information technology company,https://www.wikidata.org/entity/Q80978
Hitachi,205.0,Electronics,Cameras,Q53238,Hitachi,Japanese multinational engineering and electronics company,https://www.wikidata.org/entity/Q53238
Hootie & Blowfish,439.0,Music,Pop,Q1476499,Hootie & the Blowfish,American rock band,https://www.wikidata.org/entity/Q1476499
Humphrey Bogart,334.0,Movies,Action,Q16390,Humphrey Bogart,American actor (1899–1957),https://www.wikidata.org/entity/Q16390
Hurd Hatfield,335.0,Movies,Horror,Q330353,Hurd Hatfield,American actor (1917–1998),https://www.wikidata.org/entity/Q330353
Inc. Staff Sunset Books,139.0,Books,Art & Architecture,Q125428932,Sunset Publishing Co.,publisher of sheet music,https://www.wikidata.org/entity/Q125428932
Instrumental,440.0,Music,Music - Miscellaneous,Q639197,instrumental music,music without spoken or sung language,https://www.wikidata.org/entity/Q639197
J. D. Salinger,140.0,Books,Literature,Q79904,J. D. Salinger,American author (1919–2010),https://www.wikidata.org/entity/Q79904
Jack Nicholson,336.0,Movies,Comedy,Q39792,Jack Nicholson,American actor and filmmaker (born 1937),https://www.wikidata.org/entity/Q39792
Jack Nicklaus,337.0,Movies,Special Interests,Q9424,Jack Nicklaus,American golfer (born 1940),https://www.wikidata.org/entity/Q9424
James Cromwell,338.0,Movies,Comedy,Q299483,James Cromwell,American actor (born 1940),https://www.wikidata.org/entity/Q299483
James F. Fixx,141.0,Books,Books - Miscellaneous,Q973958,Jim Fixx,American fitness advocate and author (1932–1984),https://www.wikidata.org/entity/Q973958
James Jones,142.0,Books,Literature,Q213861,Jim Jones,American cult leader (1931–1978),https://www.wikidata.org/entity/Q213861
James Joyce,143.0,Books,Literature,Q6882,James Joyce,Irish novelist and poet (1882–1941),https://www.wikidata.org/entity/Q6882
Jamiroquai,441.0,Music,Soul / R&B,Q202041,Jamiroquai,British acid jazz band,https://www.wikidata.org/entity/Q202041
Janet Jackson,442.0,Music,Soul / R&B,Q131324,Janet Jackson,"American singer, songwriter, dancer and actress (born 1966)",https://www.wikidata.org/entity/Q131324
Jason Patric,339.0,Movies,Horror,Q361412,Jason Patric,American actor,https://www.wikidata.org/entity/Q361412
Jennifer Aniston,340.0,Movies,Comedy,Q32522,Jennifer Aniston,American actress (born 1969),https://www.wikidata.org/entity/Q32522
Jennifer Love Hewitt,341.0,Movies,Horror,Q175104,Jennifer Love Hewitt,American actress and singer,https://www.wikidata.org/entity/Q175104
Jim Carrey,342.0,Movies,Comedy,Q40504,Jim Carrey,Canadian-American actor and comedian (born 1962),https://www.wikidata.org/entity/Q40504
Jim Wharton,144.0,Books,Sports & Health,Q106906762,Jim Wharton,Australian fisheries scientist,https://www.wikidata.org/entity/Q106906762
Jimmy Sturr,443.0,Music,Music - Miscellaneous,Q4442402,Jimmy Sturr,American musician,https://www.wikidata.org/entity/Q4442402
Jodi Benson,343.0,Movies,Kids / Family,Q1138602,Jodi Benson,American actress,https://www.wikidata.org/entity/Q1138602
Joe Pesci,344.0,Movies,Comedy,Q20178,Joe Pesci,American actor (born 1943),https://www.wikidata.org/entity/Q20178
John Berge,145.0,Books,Art & Architecture,Q382604,John Berger,"British painter, writer and art critic (1926-2017)",https://www.wikidata.org/entity/Q382604
John Dewey,146.0,Books,Art & Architecture,Q131805,John Dewey,"American philosopher, psychologist, and educational reformer (1859–1952)",https://www.wikidata.org/entity/Q131805
John S. Hammond,147.0,Books,Business,Q112398662,John S. Hammond,--,https://www.wikidata.org/entity/Q112398662
John Travolta,345.0,Movies,Drama,Q80938,John Travolta,American actor (born 1954),https://www.wikidata.org/entity/Q80938
Jon R. Katzenbach,148.0,Books,Business,Q6271024,Jon R. Katzenbach,"American writer, management consultant",https://www.wikidata.org/entity/Q6271024
Jonathan Baird,149.0,Books,Business,Q120600768,Jonathan Baird,--,https://www.wikidata.org/entity/Q120600768
Joost Elffers,150.0,Books,Business,Q104158481,Joost Elffers,Dutch design entrepreneur (born 1946),https://www.wikidata.org/entity/Q104158481
Joseph L. Heller,151.0,Books,Literature,Q99613387,Joseph Hellerstein,researcher,https://www.wikidata.org/entity/Q99613387
Julia Roberts,346.0,Movies,Comedy,Q40523,Julia Roberts,American actress (born 1967),https://www.wikidata.org/entity/Q40523
Julian M. Whitaker,152.0,Books,Sports & Health,--,no direct Wikidata match,--,--
Kate Winslet,347.0,Movies,Drama,Q202765,Kate Winslet,English actress (born 1975),https://www.wikidata.org/entity/Q202765
Keith Gordon,348.0,Movies,Horror,Q1738056,Keith Gordon,American actor and director,https://www.wikidata.org/entity/Q1738056
Kelly Price,444.0,Music,Soul / R&B,Q2248393,Kelly Price,American singer,https://www.wikidata.org/entity/Q2248393
Kevin Spacey,349.0,Movies,Drama,Q25144,Kevin Spacey,American actor,https://www.wikidata.org/entity/Q25144
Kirsten Dunst,350.0,Movies,Action,Q76478,Kirsten Dunst,American actress (born 1982),https://www.wikidata.org/entity/Q76478
Larry Wilde,181.0,Books,Books - Miscellaneous,Q6491283,Larry Wilde,American comedian,https://www.wikidata.org/entity/Q6491283
"Lawrence, Tracy",445.0,Music,Country,Q2447661,Tracy Lawrence,American musician,https://www.wikidata.org/entity/Q2447661
Leonardo Di Caprio,351.0,Movies,Drama,Q38111,Leonardo DiCaprio,American actor and producer (born 1974),https://www.wikidata.org/entity/Q38111
Liam Neeson,352.0,Movies,Action,Q58444,Liam Neeson,actor from Northern Ireland (born 1952),https://www.wikidata.org/entity/Q58444
Live,446.0,Music,Alternative,Q483673,Live,American rock band,https://www.wikidata.org/entity/Q483673
"Loeb, Lisa",447.0,Music,Alternative,Q237654,Lisa Loeb,American musician,https://www.wikidata.org/entity/Q237654
Louis Gary Lamit,153.0,Books,Science & Technology,--,no direct Wikidata match,--,--
Ludwig van Beethoven,448.0,Music,Music - Miscellaneous,Q255,Ludwig van Beethoven,German composer (1770-1827),https://www.wikidata.org/entity/Q255
Lynne Robinson,154.0,Books,Sports & Health,Q111972824,Lynne Robinson,--,https://www.wikidata.org/entity/Q111972824
Madonna,449.0,Music,Pop,Q1744,Madonna,"American singer, songwriter, and actress (born 1958)",https://www.wikidata.org/entity/Q1744
Maria Reidelbach,155.0,Books,Books - Miscellaneous,Q6761524,Maria Reidelbach,artist,https://www.wikidata.org/entity/Q6761524
Mariah Carey,450.0,Music,Pop,Q41076,Mariah Carey,American singer (born 1969),https://www.wikidata.org/entity/Q41076
Mark Wilson,156.0,Books,Books - Miscellaneous,Q112735591,Mark Wilson,"associate professor of supply chains at Lincoln University, New Zealand",https://www.wikidata.org/entity/Q112735591
Marlon Brando,353.0,Movies,Action,Q34012,Marlon Brando,American actor (1924–2004),https://www.wikidata.org/entity/Q34012
Matthew Broderick,354.0,Movies,Action,Q28755,Matthew Broderick,American actor (born 1962),https://www.wikidata.org/entity/Q28755
Maxwell,451.0,Music,Soul / R&B,Q315672,Maxwell,American R&B singer,https://www.wikidata.org/entity/Q315672
"Mcentire, Reba",452.0,Music,Country,Q229430,Reba McEntire,American country singer and actress (born 1955),https://www.wikidata.org/entity/Q229430
"Mcgraw, Tim",453.0,Music,Country,Q356487,Tim McGraw,American country singer and actor (born 1967),https://www.wikidata.org/entity/Q356487
Mel Gibson,355.0,Movies,Action,Q42229,Mel Gibson,"American actor, director, producer and screenwriter (born 1956)",https://www.wikidata.org/entity/Q42229
Melissa Etheridge,454.0,Music,Rock,Q270669,Melissa Etheridge,American singer-songwriter,https://www.wikidata.org/entity/Q270669
"Merchant, Natalie",455.0,Music,Alternative,Q238215,Natalie Merchant,American singer,https://www.wikidata.org/entity/Q238215
Mia Farrow,356.0,Movies,Horror,Q202725,Mia Farrow,American actress,https://www.wikidata.org/entity/Q202725
Michael A. Boylan,157.0,Books,Business,--,no direct Wikidata match,--,--
Michael Douglas,357.0,Movies,Drama,Q172140,Michael Crichton,"American author, screenwriter, film director (1942–2008)",https://www.wikidata.org/entity/Q172140
Michael Jackson,456.0,Music,Pop,Q2831,Michael Jackson,"American singer, songwriter, dancer, and philanthropist (1958–2009)",https://www.wikidata.org/entity/Q2831
Mickey Rooney,358.0,Movies,Kids / Family,Q104081,Mickey Rooney,American actor (1920–2014),https://www.wikidata.org/entity/Q104081
Microsoft,206.0,Electronics,Computers,Q2283,Microsoft,American multinational technology corporation,https://www.wikidata.org/entity/Q2283
Microsoft Staff,359.0,Movies,Special Interests,Q39075737,Microsoft StaffHub,--,https://www.wikidata.org/entity/Q39075737
Mike Myers,360.0,Movies,Comedy,Q185724,Mike Myers,"Canadian actor, comedian and filmmaker",https://www.wikidata.org/entity/Q185724
Minolta,207.0,Electronics,Cameras,Q354578,Minolta,"Japanese manufacturer of cameras, camera accessories, photocopiers, fax machines, and laser printers",https://www.wikidata.org/entity/Q354578
Miriam E. Nelson,158.0,Books,Sports & Health,Q16193751,Miriam E. Nelson,American academic and writer,https://www.wikidata.org/entity/Q16193751
Monica,457.0,Music,Soul / R&B,Q239070,Monica,American singer,https://www.wikidata.org/entity/Q239070
"Morissette,Alanis",458.0,Music,Alternative,Q130742,Alanis Morissette,Canadian-American singer (born 1974),https://www.wikidata.org/entity/Q130742
Muppets,361.0,Movies,Kids / Family,Q550558,The Muppets,2011 film by James Bobin,https://www.wikidata.org/entity/Q550558
Nancy Drosd,159.0,Books,Books - Miscellaneous,Q109674306,Nancy Drosd,American printmaker (floruit 1968),https://www.wikidata.org/entity/Q109674306
Negroponte,160.0,Books,Science & Technology,Q173096,Euboea,Greek island,https://www.wikidata.org/entity/Q173096
Neils Cherniak,161.0,Books,Sports & Health,--,no direct Wikidata match,--,--
New Media,208.0,Electronics,Computers,Q683794,new media,"forms of media native to computers, computational, relying on computers for redistribution; e.g. telephones, computers, virtual worlds, website games, human-computer interface, computer animation, interactive computer installations",https://www.wikidata.org/entity/Q683794
Niccolo Machiavelli,162.0,Books,Literature,Q1399,Niccolò Machiavelli,Italian diplomat and political and military theorist (1469–1527),https://www.wikidata.org/entity/Q1399
Nicolas Cage,362.0,Movies,Drama,Q42869,Nicolas Cage,American actor (born 1964),https://www.wikidata.org/entity/Q42869
Norman Sullivan,163.0,Books,Books - Miscellaneous,--,no direct Wikidata match,--,--
Oasis,459.0,Music,Alternative,Q382890,Oasis,British rock band,https://www.wikidata.org/entity/Q382890
Olympus,209.0,Electronics,Cameras,Q688619,Olympus Corporation,Japanese company,https://www.wikidata.org/entity/Q688619
"Osborne, Joan",460.0,Music,Alternative,Q124660621,Joan Osborne,artist,https://www.wikidata.org/entity/Q124660621
Ozzy Osbourne,461.0,Music,Rock,Q133151,Ozzy Osbourne,English musician and television personality (1948–2025),https://www.wikidata.org/entity/Q133151
PNY,212.0,Electronics,Computers,Q674582,PNY Technologies,American electronics company,https://www.wikidata.org/entity/Q674582
Panasonic,210.0,Electronics,Audio Equipment,Q53247,Panasonic Holdings Corporation,Japanese multinational electronics corporation,https://www.wikidata.org/entity/Q53247
Patricia Dickinson,363.0,Movies,Special Interests,--,no direct Wikidata match,--,--
Patrick MacNee,364.0,Movies,Action,Q436719,Patrick Macnee,English actor (1922–2015),https://www.wikidata.org/entity/Q436719
Paul Newman,365.0,Movies,Drama,Q41871,Paul Newman,American actor (1925–2008),https://www.wikidata.org/entity/Q41871
Peatman,164.0,Books,Science & Technology,--,no direct Wikidata match,--,--
Peggy Lee,366.0,Movies,Kids / Family,Q117471840,Peggy Lee,"Director, Kliknbook",https://www.wikidata.org/entity/Q117471840
Pete Egoscue,165.0,Books,Sports & Health,Q2073250,Pete Egoscue,American author,https://www.wikidata.org/entity/Q2073250
Pioneer,211.0,Electronics,Audio Equipment,Q2411171,Pioneer,"community in Amador County, California, United States",https://www.wikidata.org/entity/Q2411171
Pres Of United States,462.0,Music,Alternative,--,no direct Wikidata match,--,--
RCA,213.0,Electronics,Audio Equipment,Q218038,RCA Corporation,defunct American electronics company,https://www.wikidata.org/entity/Q218038
Rachel Carley,166.0,Books,Art & Architecture,Q117769611,Rachel Carley,architecture researcher in New Zealand,https://www.wikidata.org/entity/Q117769611
Ralph Steadman,167.0,Books,Art & Architecture,Q1354212,Ralph Steadman,British cartoonist (born 1936),https://www.wikidata.org/entity/Q1354212
Rancid,463.0,Music,Alternative,Q390590,Rancid,American punk rock band,https://www.wikidata.org/entity/Q390590
Real Mccoy,464.0,Music,Pop,Q41108,Real McCoy,German Eurodance group,https://www.wikidata.org/entity/Q41108
Red Hot Chili Peppers,465.0,Music,Alternative,Q10708,Red Hot Chili Peppers,American rock band,https://www.wikidata.org/entity/Q10708
Richard Bradley,367.0,Movies,Special Interests,Q2149111,Richard Bradley,British archaeologist,https://www.wikidata.org/entity/Q2149111
Richard Carlson,168.0,Books,Business,Q539982,Richard Carlson,"American actor, television and film director, and screenwriter (1912–1977)",https://www.wikidata.org/entity/Q539982
Robert Carlyle,368.0,Movies,Comedy,Q207307,Robert Carlyle,Scottish actor,https://www.wikidata.org/entity/Q207307
Robert Milton Winter,169.0,Books,Art & Architecture,--,no direct Wikidata match,--,--
Robert P. Beebe,170.0,Books,Art & Architecture,--,no direct Wikidata match,--,--
Robert Powell,369.0,Movies,Special Interests,Q7348995,Robert Powell,"American composer, organist and choir director",https://www.wikidata.org/entity/Q7348995
Robert Redford,370.0,Movies,Drama,Q59215,Robert Redford,American actor and director (1936–2025),https://www.wikidata.org/entity/Q59215
Robin Williams,371.0,Movies,Drama,Q83338,Robin Williams,American actor and comedian (1951–2014),https://www.wikidata.org/entity/Q83338
Rodney Yee,372.0,Movies,Special Interests,Q7357112,Rodney Yee,American yoga instructor,https://www.wikidata.org/entity/Q7357112
Rolling Stones,466.0,Music,Rock,Q11036,The Rolling Stones,British rock band,https://www.wikidata.org/entity/Q11036
Sandra Bullock,373.0,Movies,Drama,Q40791,Sandra Bullock,American actress and film producer,https://www.wikidata.org/entity/Q40791
Santana,467.0,Music,Rock,Q1738801,Santana,family name,https://www.wikidata.org/entity/Q1738801
Scott Adams,171.0,Books,Business,Q457923,Scott Adams,American cartoonist and author (1957–2026),https://www.wikidata.org/entity/Q457923
Seal,468.0,Music,Alternative,Q218091,Seal,"British musician, singer, songwriter and record producer",https://www.wikidata.org/entity/Q218091
Sebastian Cabot,374.0,Movies,Kids / Family,Q1233327,Sebastian Cabot,British film actor (1918–1977),https://www.wikidata.org/entity/Q1233327
"Seger, Bob",469.0,Music,Rock,Q364131,Bob Seger,American singer-songwriter,https://www.wikidata.org/entity/Q364131
Sharp,214.0,Electronics,Cameras,Q190643,Sharp Corporation,Japanese multinational corporation,https://www.wikidata.org/entity/Q190643
